Fecha_Corte,CJN,CSM,CFA,CSP,CLY,CSA,CPX,CIH,CQC,CJP,CMG,CEC,CCR,CCM,CST,CTO,CTR,CJO,CMR,CJB,CCP,CAS,CCA,CSR,CMM,CME,CCB,CCF,CPG,CLS,CMD,CSN,CSQ,CLO,CVE,COO,CLC,CEY,CPS,CHO,CAE,CUM
2005-01-31,0.06932379448269196,0.1282478643649168,0.15751586847909302,0.20605863088620868,0.10383234077446274,0.06002014101384499,0.015635951554506842,0.021866404634195064,0.007020822035398932,0.00630748259983488,0.04005568129615963,0.09494532511405128,0.023288775840219288,0.029263772413099513,0.04877656913168521,0.19710408555792658,0.03981465915821081,0.008907440075764982,0.02894159398225841,0.029034811426674877,0.03231556296723372,,,,,,,,,,,,,,,,,,,,,
2005-02-28,0.08005905132186672,0.1325056223456042,0.15520694968697762,0.21900679606959314,0.120973929036902,0.08625204449134981,0.026035815448992868,0.017805670528769513,0.00642938454310982,0.007509992396614818,0.04639698616669341,0.10935784680271757,0.031297947963484674,0.03433939471740763,0.06326679037369853,0.18168906875454788,0.04385033511567922,0.007682955748887225,0.032124208605654965,0.03621662648971979,0.03413516160528546,,,,,,,,,,,,,,,,,,,,,
2005-03-31,0.07480837360236206,0.1351856016266629,0.14940327702348685,0.21776642561327159,0.11854845289842383,0.06670591185562637,0.019878983199563216,0.013591793950282365,0.007280978944424571,0.006420607653354474,0.0431553594188943,0.10324594602797812,0.021919997854434485,0.039377757965105786,0.06652239620411599,0.182860313042144,0.0481979089182589,0.006613193503951149,0.029461919343168573,0.03793906124584553,0.03132107641110376,,,,,,,,,,,,,,,,,,,,,
2005-04-30,0.07262972165963726,0.131446373555227,0.14047942434252667,0.21291138930416134,0.11731260093468095,0.06364209479173466,0.015113300696046673,0.013581663074729026,0.004110220570803551,0.0049907963127904026,0.04820526107566349,0.11411466879056008,0.020053914899568842,0.02376043966154732,0.07407018961955265,0.20491251633550558,0.045926964912174725,0.005472129966281368,0.021952570531583077,0.036797443235077894,0.03483742575636849,0.04986893633106974,0.08333995794758438,0.15734897965177957,,,,,,,,,,,,,,,,,,
2005-05-31,0.07068275055603791,0.1379464744974712,0.13847014336154365,0.2174226887968121,0.09989983658872856,0.06400700710213915,0.02195664886227441,0.019896378622871216,0.016831923996078683,0.005808141188415448,0.033663174980415454,0.10553007121102065,0.02586685937337129,0.016363044817056926,0.05540881036332598,0.21489089552103513,0.05090607261363053,0.004094152166358732,0.02897583919188396,0.046981462407831125,0.030909526811337976,0.049482376386953186,0.09139194590193812,0.15540349553014643,,,,,,,,,,,,,,,,,,
2005-06-30,0.05517046686843208,0.12576612960311528,0.12581515441024474,0.22923221967399132,0.09100858063960157,0.06800726772018477,0.025388509146019256,0.010095641495201946,0.01050517278851355,0.003600525451289888,0.02756332186025004,0.08323172433546552,0.017440610609157126,0.018227663014396777,0.03408569010214511,0.25716504828979037,0.03655892228190721,0.003600707038944845,0.027285306366593425,0.03219638036077883,0.030916270510782398,0.05176071779576527,0.06561706224508441,0.11809468926797649,,,,,,,,,,,,,,,,,,
2005-07-31,0.04959080598342678,0.12699165326484654,0.1307303634933324,0.23108664393797224,0.0839395076593535,0.06111395435125464,0.021960611898442842,0.013872958263871898,0.012174448580216922,0.0025263889233458057,0.036059068022196904,0.08905885510180689,0.016998833187270662,0.017077270844731793,0.043295184592172554,0.2739521377054972,0.03995763983419142,0.004078739154214419,0.025490338730506112,0.032789720175428874,0.030991872189814217,0.05387418601550449,0.07101104773635943,0.07852621716720402,,,,,,,,,,,,,,,,,,
2005-08-31,0.054054004990782306,0.1223354972635449,0.14508475252868605,0.2286410410032918,0.08389270635490309,0.06497243185453856,0.036194591688774855,0.013132453771115611,0.011808369817152536,0.0026441367499586577,0.04404588108086716,0.08329969736713319,0.01965814404425726,0.017699946119741364,0.04336333344642591,0.2581569494133129,0.042440085712343,0.0053854651380436805,0.029197030426325144,0.034476380859975266,0.03296338190486804,0.05523754594586314,0.06664744635180198,0.08236849210856785,,,,,,,,,,,,,,,,,,
2005-09-30,0.048735479600193594,0.12323509877113675,0.13213356507505192,0.23007582530691603,0.08912451117624877,0.04979750770474672,0.03583454565771019,0.009934996819439943,0.008619379658888298,0.003677810247203133,0.03539969103647665,0.08271041607425687,0.01613638640556281,0.028630965832684718,0.04087161030852383,0.2727696356632618,0.032669382977043054,0.002925900934756472,0.028909134160546603,0.026319350292690717,0.02936670665615754,0.05459638264418524,0.05793595170226648,0.07861744255084066,,,,,,,,,,,,,,,,,,
2005-10-31,0.04899058727496788,0.11777337100125508,0.1226505908136641,0.1656955861489849,0.08311350911192167,0.08057873025054449,0.030345120447107393,0.008376580717699313,0.007909104173952207,0.0071244599722436516,0.04385489184513495,0.07684075361717907,0.015459582594123694,0.016822316337242384,0.051326242925992374,0.3614089035757843,0.03253333075014951,0.004764457447709594,0.0289044046376285,0.024946678399472285,0.030504661238056976,0.04124548001678852,0.055944278487003445,0.07463127783534348,,,,,,,,,,,,,,,,,,
2005-11-30,0.062398914597347484,0.10911241650733447,0.1212355267779183,0.13982314942552446,0.08365552936304951,0.08141994830368292,0.026690537159297593,0.009869467566945353,0.009917143922999019,0.0019207074222280143,0.046172794146479575,0.07832799293185765,0.019451219454908134,0.018253478100451758,0.05670729560942132,,0.03467922687482452,0.00585725265272452,0.030911651014150932,0.03013516756811537,0.026580558235108975,0.04170753949655885,0.06090398338175511,0.07536917862067337,,,,,,,,,,,,,,,,,,
2005-12-31,0.04676362765839155,0.10422095198139208,0.11308462420778956,0.1327105565426264,0.07480606068509041,0.04053414235148813,0.024750331332830108,0.007375281375857009,0.007412260703298349,0.0013388482072818504,0.02507804792716487,0.06314671305638495,0.01212910178591521,0.018490698508578454,0.021791439090966844,,0.028081196083002916,0.0036114610477244193,0.0228838764778407,0.01952020601371779,0.021252847189711824,0.036480778458846,0.033173495029075226,0.054578649250612676,,,,,,,,,,,,,,,,,,
2006-01-31,0.0463908769360233,0.1057297917092308,0.12725677178879594,0.14157747240202148,0.08098474935577797,0.07895642779958777,0.024695218114260974,0.009767041305497806,0.005944319279539248,0.0021600522218090637,0.03443479383703876,0.07377687115419992,0.01075106862582985,0.017148694475614203,0.049548968264928446,,0.04304110778106619,0.00249364969668557,0.023329521753567766,0.017812563426417436,0.029523477848897854,0.0376467794973905,0.04024626212294241,0.06284666864270302,,,,,,,,,,,,,,,,,,
2006-02-28,0.0595213700828514,0.10176399807970675,0.12969525878165106,0.14619704227183325,0.08036778592295625,0.07389779069909266,0.03925771234743657,0.01071491817592085,0.010212099022424618,0.0035694400282383033,0.04327495647823112,0.06845205527218996,0.015117846152221202,0.023595022080359306,0.05474631301313724,,0.04507848929442186,0.003595151543010653,0.03123337662124045,0.033361916365399494,0.033651498451551555,0.04184907341099247,0.03310753928893609,0.07119000570106607,,,,,,,,,,,,,,,,,,
2006-03-31,0.05519173258967049,0.10021145815459935,0.12875047505692416,0.1317682789169398,0.0819539782682332,0.06123785053182362,0.019493659297476262,0.007881232469563716,0.011119860717389638,0.0020694909978364972,0.024405015774572464,0.06640683884181552,0.016356003053273373,0.023294556573346212,0.04949457927664076,,0.03570446450451005,0.0023272485707619677,0.02790591979665363,0.026581222636998095,0.027065545537122895,0.039147284454740056,0.0407986498444543,0.06089017481242244,,,,,,,,,,,,,,,,,,
2006-04-30,0.05855563031909803,0.09266246476579505,0.11924504600568164,0.1399902237541659,0.0857450697101248,0.0709449637786483,0.02267800390500373,0.007119501707777677,0.007878380819644683,0.001905795183261101,0.019541987114604042,0.07535808395084326,0.018117067480644237,0.021621968938525773,0.06366816023020512,,0.04119211709350429,0.005536767420978227,0.026007250391372704,0.02688045877848156,0.02542079943665294,0.03438425099234534,0.03557763406442603,0.06223353452113211,,,,,,,,,,,,,,,,,,
2006-05-31,0.049635930911170516,0.0946460704677542,0.11653940079156286,0.1327935687413762,0.08857306971314255,0.05775050587657552,0.027840264622673375,0.011210937445008427,0.014658190109289404,0.002577428164551032,0.020706761581886446,0.07439617770765451,0.01693914551782623,0.01691392284287568,0.04700078315293241,,0.03200143657690877,0.0066358074260517265,0.026595483315253923,0.0305341072864517,0.025845725314711875,0.03618075837402962,0.03706522929104781,0.06605580871518522,,,,,,,,,,,,,,,,,,
2006-06-30,0.042765155190180294,0.09180921748792578,0.10626109213935045,0.11531090572582472,0.07427124618081697,0.04139575464835986,0.025228249319995334,0.006494142408535248,0.008599164345430097,0.0013024810354733385,0.0170659654771384,0.06467367548627567,0.013237367318459016,0.015668098167312093,0.026949282805775687,,0.03565949842914279,0.005617310697852493,0.026172955875099952,0.028974689834861216,0.024489738468237158,0.03264498572178454,0.024702326051844203,0.055066587568718676,,,,,,,,,,,,,,,,,,
2006-07-31,0.041977194853366345,0.08725985141918251,0.1128529913236014,0.12938779439712908,0.08143202099899095,0.06347847684643022,0.02629539015567347,0.008104700168678867,0.0056384322438244525,0.000890986407700274,0.015038914826534064,0.07200920253792388,0.014205015093685946,0.015262163020357836,0.03395994935214291,,0.03499386575192111,0.005650120252824311,0.023288542622769786,0.028667278939842274,0.02223183599596824,0.03335465687065545,0.02578915148100147,0.05345806695668437,,,,,,,,,,,,,,,,,,
2006-08-31,0.036891570532498155,0.08494890540912212,0.11150086004132842,0.1277620117495485,0.08497464170699184,0.046753652935711466,0.03147198034982258,0.010535590228125783,0.005285599173614473,0.0014427099203707717,0.015113131346596139,0.06291971895480329,0.013804888145737191,0.014722921020403956,0.03787096392205347,,0.03098706635283591,0.004756093024188975,0.01799187572771416,0.019073477293861177,0.02339394743792123,0.031718655362119874,0.02994113473477365,0.0663373987709215,,,,,,,,,,,,,,,,,,
2006-09-30,0.04330473443128899,0.0917123805349444,0.10817438672210035,0.11914053262608225,0.08178003838147375,0.0401397238161358,0.029170711655974468,0.010203142451423959,0.004608310611012353,0.001605429273746653,0.02860845193172353,0.05003146746594966,0.01224399825389732,0.025970563402177984,0.04506987109277813,,0.030806688525000084,0.005122275801357272,0.02145649707321423,0.008767994683847922,0.022479064647554357,0.02981151117737286,0.033429419379169406,0.048541852399141355,,,,,,,,,,,,,,,,,,
2006-10-31,0.04481850258970378,0.0843065221356545,0.1060335760385168,0.11825552760567826,0.07123267234588376,0.042607394571636814,0.024067973810076176,0.009020210368606174,0.004729791686829414,0.0024282372716643323,0.02474913753776571,0.05393339372991606,0.01313435051828052,0.022233503516581526,0.03553374651255746,,0.03434956365582554,0.007776575611494757,0.021352579936710154,0.011717748566461204,0.021421401638808443,0.027516148816308105,0.02321489234508071,0.05388963350913845,,,,,,,,,,,,,,,,,,
